Compound_Name,Chemical_Class,SMILES,Plant_Source,Molecular_Weight
Capsaicin,Alkaloid,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,Chili Pepper (Capsicum annuum),305.42
Caffeine,Alkaloid,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Coffee (Coffea arabica),194.19
Nicotine,Alkaloid,CN1CCC[C@H]1c1cccnc1,Tobacco (Nicotiana tabacum),162.24
Morphine,Alkaloid,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Opium Poppy (Papaver somniferum),285.34
Quinine,Alkaloid,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,Cinchona (Cinchona officinalis),324.42
Atropine,Alkaloid,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,Belladonna (Atropa belladonna),289.38
Berberine,Alkaloid,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,Barberry (Berberis vulgaris),336.37
Cannabidiol,Phenolic Terpenoid,CCCCCc1cc(O)c(C2C=C(C)CCC2C(C)=C)c(O)c1,Cannabis (Cannabis sativa),314.47
Salicylic acid,Phenolic acid,O=C(O)c1ccccc1O,Willow Bark (Salix alba),138.12
Chlorogenic acid,Phenolic acid,OC1CC(O)(C(=O)O)CC(OC(=O)/C=C/c2ccc(O)c(O)c2)C1O,Echinacea (Echinacea purpurea),354.31
Resveratrol,Stilbenoid,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Grape (Vitis vinifera),228.25
Apigenin,Flavonoid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Chamomile (Matricaria chamomilla),270.24
Luteolin,Flavonoid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Dandelion (Taraxacum officinale),286.24
Naringenin,Flavonoid,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,Citrus Peel (Citrus reticulata),272.26
Hesperetin,Flavonoid,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,Orange (Citrus sinensis),302.28
Genistein,Isoflavonoid,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Soybean (Glycine max),270.24
Ursolic acid,Triterpenoid,CC1CCC2(CCC3(C)C(=CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C2C1C)C(=O)O,Rosemary (Rosmarinus officinalis),456.71
Lupeol,Triterpenoid,CC(C)=CC1CCC2(C)CCC3(C)C(CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C12,Mango Leaves (Mangifera indica),440.76
Vanillin,Phenolic aldehyde,COc1cc(C=O)ccc1O,Vanilla (Vanilla planifolia),152.15
Geraniol,Monoterpenoid,CC(C)=CCC/C(C)=C/CO,Lemongrass (Cymbopogon citratus),154.25
Linalool,Monoterpenoid,CC(C)=CCCC(C)(O)C=C,Lavender (Lavandula angustifolia),154.25
Ferulic acid,Phenolic acid,COc1cc(/C=C/C(=O)O)ccc1O,Rice Bran (Oryza sativa),194.19
Gallic acid,Phenolic acid,O=C(O)c1cc(O)c(O)c(O)c1,Pomegranate (Punica granatum),170.12
Ellagic acid,Phenolic acid,O=c1oc2cc3oc(=O)c4c(O)c(O)c(c1c2c34)O,Pomegranate (Punica granatum),260.16
Myricetin,Flavonoid,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Bayberry (Myrica cerifera),318.24
Fisetin,Flavonoid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,Strawberry (Fragaria ananassa),286.24
Rutin,Flavonoid Glycoside,COC1OC(CO)C(O)C(O)C1Oc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,Buckwheat (Fagopyrum esculentum),478.41
Silibinin,Flavonolignan,COc1cc(C2Oc3cc(O)cc(O)c3C(=O)C2O)ccc1O,Milk Thistle (Silybum marianum),318.28
Baicalein,Flavonoid,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,Baikal Skullcap (Scutellaria baicalensis),270.24
Chrysin,Flavonoid,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,Passionflower (Passiflora incarnata),254.24
Diosmetin,Flavonoid,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,Olive Leaf (Olea europaea),300.27
Puerarin,Isoflavonoid Glycoside,OC1OC(CO)C(O)C(O)C1c1c(-c2ccc(O)cc2)oc2cc(O)ccc2c1=O,Kudzu (Pueraria lobata),416.38
Daidzein,Isoflavonoid,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,Soybean (Glycine max),254.24
Formononetin,Isoflavonoid,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,Red Clover (Trifolium pratense),268.27
Biochanin A,Isoflavonoid,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,Red Clover (Trifolium pratense),284.27
Naringin,Flavonoid Glycoside,O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc(O)c21,Grapefruit (Citrus paradisi),580.54
Silymarin,Flavonolignan,COc1cc(C2Oc3cc(O)cc(O)c3C(=O)C2O)ccc1O,Milk Thistle (Silybum marianum),318.28
Diosgenin,Steroidal Saponin,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,Fenugreek (Trigonella foenum-graecum),414.63
Stigmasterol,Phytosterol,CCC(/C=C/C(C)C1CCC2C1(C)CCC1C2CC=C2CC(O)CCC12C)C(C)C,Soybean (Glycine max),412.7
Campesterol,Phytosterol,CC(C)C(C)CCC(C)C1CCC2C1(C)CCC1C2CC=C2CC(O)CCC12C,Rapeseed (Brassica napus),400.69
Betulin,Triterpenoid,C=C(CO)C1CCC2(C)CCC3(C)C(=CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C12,Birch Bark (Betula pendula),440.71
Oleanolic acid,Triterpenoid,CC1(C)CCC2(CCC3(C)C(=CCC4C3(C)CCC3C4(C)CCC(C)(C)C3)C2C1)C(=O)O,Olive (Olea europaea),440.71
Glycyrrhetinic acid,Triterpenoid,CC1(C)C(O)CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(C)C(O)CC3(C)CCC12C,Licorice (Glycyrrhiza glabra),456.71
Asiatic acid,Triterpenoid,CC1CCC2(CCC3(C)C(=CCC4C3(C)CC(O)C3(C)C4C(O)CC(O)C3(C)C)C2C1C)C(=O)O,Centella asiatica,488.71
Madecassoside,Triterpenoid Glycoside,OCC1OC(OC2C(O)C(O)C(CO)OC2OC2CCC3(C)C(=CCC4C3(C)CC(O)C3(C)C4C(O)CC(O)C3(C)CO)C2(C)C)OC(O)C(O)C1O,Centella asiatica,762.89
Ginsenoside_Rg1,Triterpenoid Saponin,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C2(C)CCC2(C)C1CC=C1C2(C)CC(O)C(O)C1(C)CO,Ginseng (Panax ginseng),720.99
Salvianolic_acid_B,Phenolic acid,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c(O)c1,Red Sage (Salvia miltiorrhiza),360.32
Tanshinone_IIA,Diterpenoid quinone,CC1=CC(=O)C2=C(C1)c1ccc3c(c1CC2)C(C)(C)CCC3,Red Sage (Salvia miltiorrhiza),292.42
Andrographolide,Diterpenoid lactone,C=C1C(=CCO)CCC2(C)C1CCC1(C)C2C(O)CCC1=CC1OC(=O)C(=C)C1,Andrographis paniculata,398.54
Bacoside_A,Triterpenoid Saponin,OCC1OC(OC2CCC3(C)C(=CCC4C3CCC3(C)C4CCC(C)(O)C3)C2(C)C)OC(O)C(O)C1O,Brahmi (Bacopa monnieri),524.7
Asiaticoside,Triterpenoid Glycoside,OCC1OC(OC2C(O)C(O)C(CO)OC2OC2CCC3(C)C(=CCC4C3(C)CC(O)C3(C)C4C(O)CC(O)C3(C)CO)C2(C)C)OC(O)C(O)C1O,Centella asiatica,762.89
Hyperforin,Acylphloroglucinol,CC1CC(C)(C)C(=O)C2(C(=O)C3(CC=C(C)C)C4(CC=C(C)C)C(=O)C5(C(=O)C(C(C)C)C(C(=O)C(C)C)C5(CC=C(C)C)C4(CC=C(C)C)C3O)C2C)C1,St. Johns Wort (Hypericum perforatum),757.11
Aloin,Anthraquinone Glycoside,OCC1OC(c2c(O)cc(O)c3c2C(=O)c2ccccc2C3O)C(O)C(O)C1O,Aloe vera (Aloe barbadensis),404.37
Rosmarinic_acid,Phenolic acid,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c(O)c1,Rosemary (Rosmarinus officinalis),360.32
Carnosic_acid,Diterpenoid,CC(C)c1c(O)c(O)c2c(c1O)C1(C(=O)O)CCC(C)(C)CC1CC2,Rosemary (Rosmarinus officinalis),348.44
Camphor,Monoterpenoid,CC1(C)C2CCC1(C)C(=O)C2,Camphor Tree (Cinnamomum camphora),152.24
Borneol,Monoterpenoid,CC1(C)C2CCC1(C)C(O)C2,Borneo Camphor (Dryobalanops aromatica),154.25
Alpha-pinene,Monoterpenoid,CC1=CCC2CC1C2(C)C,Pine (Pinus species),136.24
Limonene,Monoterpenoid,CC(=C)C1CCC(C)=CC1,Lemon Peel (Citrus limon),136.24
Citral,Monoterpenoid,CC(=CCC/C(C)=C/C=O)C,Lemongrass (Cymbopogon citratus),152.24
Carvone,Monoterpenoid,CC(=C)C1CC(C)=CCC1=O,Spearmint (Mentha spicata),150.22
Cineole,Monoterpenoid,CC1(C)C2CCC(C)(CC2)O1,Eucalyptus (Eucalyptus globulus),154.25
Safrole,Phenylpropanoid,C=CCc1ccc2c(c1)OCO2,Sassafras (Sassafras albidum),162.19
Myristicin,Phenylpropanoid,C=CCc1cc(OC)c(OC)c2c1OCO2,Nutmeg (Myristica fragrans),222.24
Anethole,Phenylpropanoid,C/C=C/c1ccc(OC)cc1,Fennel (Foeniculum vulgare),148.2
Estragole,Phenylpropanoid,C=CCc1ccc(OC)cc1,Basil (Ocimum basilicum),148.2
Pinocembrin,Flavonoid,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,Propolis,256.26
Galangin,Flavonoid,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,Galangal (Alpinia officinarum),270.24
Tectorigenin,Isoflavonoid,COc1c(O)c2occ(-c3ccc(O)cc3)c(=O)c2cc1O,Iris (Belamcanda chinensis),300.27
Sinapic_acid,Phenolic acid,COc1cc(/C=C/C(=O)O)cc(OC)c1O,Mustard (Brassica nigra),224.21
Caffeic_acid,Phenolic acid,O=C(O)/C=C/c1ccc(O)c(O)c1,Coffee (Coffea arabica),180.16
p-Coumaric_acid,Phenolic acid,O=C(O)/C=C/c1ccc(O)cc1,Peanut (Arachis hypogaea),164.16
Syringic_acid,Phenolic acid,COc1cc(C(=O)O)cc(OC)c1O,Date Palm (Phoenix dactylifera),198.17
Protocatechuic_acid,Phenolic acid,O=C(O)c1ccc(O)c(O)c1,Onion (Allium cepa),154.12
Vanillic_acid,Phenolic acid,COc1cc(C(=O)O)ccc1O,Vanilla (Vanilla planifolia),168.15
Xanthotoxin,Furanocoumarin,COc1c2ccc(=O)oc2cc2ccoc12,Bishops Weed (Ammi majus),216.19
Osthole,Coumarin,CC(C)=CCc1c(OC)ccc2ccc(=O)oc12,Cnidium monnieri,244.29
Plumbagin,Naphthoquinone,Cc1cc(=O)c2ccccc2c1=O,Chitrak (Plumbago zeylanica),172.18
Morin,Flavonoid,O=c1c(O)c(-c2cc(O)ccc2O)oc2cc(O)cc(O)c12,Mulberry (Morus alba),302.24
Bergapten,Furanocoumarin,COc1c2ccc(=O)oc2cc2ccoc12,Bergamot (Citrus bergamia),216.19
Psoralen,Furanocoumarin,O=c1ccc2cc3ccoc3cc2o1,Psoralea corylifolia,186.17
Imperatorin,Furanocoumarin,C=C(C)CCOc1c2ccc(=O)oc2cc2ccoc12,Angelica (Angelica dahurica),270.28
Coumarin,Coumarin,O=c1ccc2ccccc2o1,Tonka Bean (Dipteryx odorata),146.14
Umbelliferone,Coumarin,O=c1ccc2cc(O)ccc2o1,Carrot (Daucus carota),162.14
Scopoletin,Coumarin,COc1cc2ccc(=O)oc2cc1O,Chicory (Cichorium intybus),192.17
Withaferin_A,Steroidal Lactone,CC1(C)C(O)CCC2(C)C1CCC1(C)C2C(O)CC2C1(C)C(=O)C=C(C)C1CC(=C)C(=O)OC12,Ashwagandha (Withania somnifera),470.65
Delphinidin,Anthocyanidin,Oc1cc(O)c2c(c1)[o+]c(-c1cc(O)c(O)c(O)c1)cc2O,Blueberry (Vaccinium species),303.25
