Plant,Scientific_Name,Marker_Compound,SMILES,Alkaloids,Flavonoids,Tannins,Saponins,Terpenoids,Steroids,Glycosides,Phenolics,Anthraquinones,VolatileOils,Traditional_Use,Marker_MW,Marker_LogP,Marker_HBD,Marker_HBA,Marker_TPSA,Marker_RotBonds
Dandelion,Taraxacum officinale,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,1,1,1,1,1,0,1,0,0,"Diuretic, hepatoprotective",286.23900000000003,2.2824000000000004,4,6,111.13000000000001,1
Citrus Peel,Citrus reticulata,Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0,1,0,0,1,0,1,1,0,1,"Antioxidant, anti-inflammatory",272.25600000000003,2.5099000000000014,3,5,86.99000000000001,1
Orange,Citrus sinensis,Hesperetin,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,0,1,0,0,1,0,1,1,0,1,"Antioxidant, vascular health",302.28200000000004,2.518500000000001,3,6,96.22000000000001,2
Soybean,Glycine max,Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0,1,0,1,0,1,1,1,0,0,"Phytoestrogen, bone health",270.24,2.576800000000001,3,5,90.9,1
Rosemary,Rosmarinus officinalis,Ursolic acid,CC1CCC2(CCC3(C)C(=CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C2C1C)C(=O)O,0,1,1,0,1,0,0,1,0,1,"Antioxidant, memory enhancer",456.71100000000024,7.089500000000008,2,2,57.53,1
Mango Leaves,Mangifera indica,Lupeol,CC(C)=CC1CCC2(C)CCC3(C)C(CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C12,0,0,1,1,1,1,0,0,0,0,"Antidiabetic, wound healing",440.75600000000026,8.414900000000006,1,1,20.23,1
Vanilla,Vanilla planifolia,Vanillin,COc1cc(C=O)ccc1O,0,0,0,0,0,0,1,1,0,1,"Flavoring, mild antioxidant",152.14899999999997,1.2132999999999998,1,3,46.53,2
Lemongrass,Cymbopogon citratus,Geraniol,CC(C)=CCC/C(C)=C/CO,0,1,1,0,1,0,0,1,0,1,"Antimicrobial, antipyretic",154.253,2.6714000000000016,1,1,20.23,4
Lavender,Lavandula angustifolia,Linalool,CC(C)=CCCC(C)(O)C=C,0,1,1,0,1,0,0,1,0,1,"Anxiolytic, sedative",154.253,2.6698000000000013,1,1,20.23,4
Pomegranate,Punica granatum,Gallic acid,O=C(O)c1cc(O)c(O)c(O)c1,0,1,1,0,0,0,0,1,0,0,"Antioxidant, antimicrobial",170.11999999999998,0.5015999999999998,4,4,97.99000000000001,1
