UniProt_ID,Protein_Name,Gene_Name,Category,Disease_Association,AlphaFold_Version,PDB_URL,Sequence_Length,pLDDT_Mean,Frac_VeryLow_pLDDT,Frac_Low_pLDDT,Frac_Confident_pLDDT,Frac_VeryHigh_pLDDT,frac_hydrophobic,frac_polar,frac_charged_pos,frac_charged_neg,frac_aromatic,frac_small,frac_proline,frac_glycine,frac_cysteine,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,molecular_weight,helix_propensity,sheet_propensity,turn_propensity,disorder_propensity
P49761,Dual specificity tyrosine-regulated kinase 1A,DYRK1A,Kinase,Down syndrome cancer,6,https://alphafold.ebi.ac.uk/files/AF-P49761-F1-model_v6.pdb,490,79.0,0.282,0.01,0.031,0.678,0.3183673469387755,0.18571428571428572,0.24285714285714285,0.12857142857142856,0.10612244897959183,0.19183673469387755,0.05102040816326531,0.04693877551020408,0.026530612244897958,0.03469387755102041,0.026530612244897958,0.04081632653061224,0.08775510204081632,0.04693877551020408,0.04693877551020408,0.061224489795918366,0.03469387755102041,0.05918367346938776,0.08163265306122448,0.02040816326530612,0.03469387755102041,0.05102040816326531,0.02857142857142857,0.12244897959183673,0.0836734693877551,0.03877551020408163,0.04081632653061224,0.012244897959183673,0.04693877551020408,67324,0.3122448979591837,0.19591836734693877,0.2571428571428571,0.47959183673469385
P06493,Cyclin-dependent kinase 1,CDK1,Kinase,Cancer mitosis,6,https://alphafold.ebi.ac.uk/files/AF-P06493-F1-model_v6.pdb,297,89.31,0.03,0.051,0.229,0.69,0.4208754208754209,0.18181818181818182,0.15824915824915825,0.12457912457912458,0.09764309764309764,0.1750841750841751,0.050505050505050504,0.06060606060606061,0.003367003367003367,0.04040404040404041,0.003367003367003367,0.06397306397306397,0.06060606060606061,0.037037037037037035,0.06060606060606061,0.026936026936026935,0.07407407407407407,0.08080808080808081,0.12121212121212122,0.026936026936026935,0.03367003367003367,0.050505050505050504,0.03367003367003367,0.050505050505050504,0.0707070707070707,0.04377104377104377,0.06060606060606061,0.013468013468013467,0.04713804713804714,39384,0.36363636363636365,0.2222222222222222,0.27946127946127947,0.4074074074074074
Q13546,Receptor-interacting serine/threonine-protein kinase 1,RIPK1,Kinase,Inflammation neurodegeneration,6,https://alphafold.ebi.ac.uk/files/AF-Q13546-F1-model_v6.pdb,671,69.75,0.308,0.104,0.265,0.322,0.35767511177347244,0.23546944858420268,0.14157973174366617,0.12965722801788376,0.07898658718330849,0.21609538002980627,0.05663189269746647,0.06408345752608048,0.014903129657228018,0.05216095380029806,0.014903129657228018,0.043219076005961254,0.08643815201192251,0.026825633383010434,0.06408345752608048,0.03278688524590164,0.05216095380029806,0.06557377049180328,0.08792846497764531,0.03576751117734724,0.05961251862891207,0.05663189269746647,0.04769001490312966,0.043219076005961254,0.08494783904619971,0.043219076005961254,0.05067064083457526,0.010432190760059613,0.041728763040238454,87905,0.37555886736214605,0.18628912071535023,0.30849478390462,0.4485842026825633
P68400,Casein kinase II subunit alpha,CSNK2A1,Kinase,Cancer,6,https://alphafold.ebi.ac.uk/files/AF-P68400-F1-model_v6.pdb,391,88.94,0.133,0.013,0.02,0.834,0.4143222506393862,0.17135549872122763,0.16624040920716113,0.12531969309462915,0.10485933503836317,0.1815856777493606,0.061381074168797956,0.056265984654731455,0.005115089514066497,0.056265984654731455,0.005115089514066497,0.06905370843989769,0.056265984654731455,0.03324808184143223,0.056265984654731455,0.04092071611253197,0.05370843989769821,0.058823529411764705,0.08439897698209718,0.03836317135549872,0.043478260869565216,0.061381074168797956,0.030690537084398978,0.06649616368286446,0.0639386189258312,0.03324808184143223,0.07672634271099744,0.01278772378516624,0.058823529411764705,52112,0.3248081841432225,0.22762148337595908,0.29411764705882354,0.3938618925831202
O14965,Aurora kinase A,AURKA,Kinase,Cancer cell division,6,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-model_v6.pdb,403,75.06,0.308,0.062,0.069,0.561,0.34491315136476425,0.23821339950372208,0.17369727047146402,0.10421836228287841,0.07196029776674938,0.20595533498759305,0.07444168734491315,0.04714640198511166,0.017369727047146403,0.05955334987593052,0.017369727047146403,0.02729528535980149,0.07692307692307693,0.03225806451612903,0.04714640198511166,0.02977667493796526,0.03722084367245657,0.0794044665012407,0.10669975186104218,0.009925558312655087,0.04714640198511166,0.07444168734491315,0.06699751861042183,0.06451612903225806,0.08188585607940446,0.04218362282878412,0.05955334987593052,0.009925558312655087,0.02977667493796526,53007,0.39950372208436724,0.1761786600496278,0.27791563275434245,0.4913151364764268
P07550,Beta-2 adrenergic receptor,ADRB2,GPCR,Asthma COPD,6,https://alphafold.ebi.ac.uk/files/AF-P07550-F1-model_v6.pdb,413,79.12,0.211,0.09,0.104,0.596,0.4552058111380145,0.22518159806295399,0.10653753026634383,0.0847457627118644,0.11380145278450363,0.23002421307506055,0.029055690072639227,0.06779661016949153,0.031476997578692496,0.06053268765133172,0.031476997578692496,0.0387409200968523,0.04600484261501211,0.06053268765133172,0.06779661016949153,0.026634382566585957,0.07506053268765134,0.0387409200968523,0.09443099273607748,0.024213075060532687,0.053268765133171914,0.029055690072639227,0.04600484261501211,0.04116222760290557,0.07021791767554479,0.05569007263922518,0.08716707021791767,0.01937046004842615,0.03389830508474576,53821,0.3099273607748184,0.288135593220339,0.25907990314769974,0.3389830508474576
P14416,D2 dopamine receptor,DRD2,GPCR,Schizophrenia Parkinson,6,https://alphafold.ebi.ac.uk/files/AF-P14416-F1-model_v6.pdb,443,72.44,0.264,0.126,0.235,0.375,0.45372460496614,0.21218961625282168,0.1489841986455982,0.06997742663656885,0.09706546275395034,0.19413092550790068,0.060948081264108354,0.02708803611738149,0.02708803611738149,0.0654627539503386,0.02708803611738149,0.03611738148984198,0.033860045146726865,0.04288939051918736,0.02708803611738149,0.03160270880361174,0.07674943566591422,0.05191873589164785,0.09932279909706546,0.033860045146726865,0.05191873589164785,0.060948081264108354,0.020316027088036117,0.0654627539503386,0.0744920993227991,0.0654627539503386,0.08126410835214447,0.01580135440180587,0.03837471783295711,58516,0.3047404063205418,0.26636568848758463,0.2505643340857788,0.3340857787810384
P35372,Mu-type opioid receptor,OPRM1,GPCR,Pain addiction,6,https://alphafold.ebi.ac.uk/files/AF-P35372-F1-model_v6.pdb,400,76.56,0.177,0.13,0.217,0.475,0.4575,0.25,0.095,0.06,0.105,0.225,0.0575,0.0375,0.0425,0.065,0.0425,0.0375,0.0225,0.05,0.0375,0.0175,0.0875,0.03,0.0925,0.035,0.06,0.0575,0.0175,0.0475,0.08,0.0925,0.0725,0.0175,0.0375,51909,0.2625,0.29,0.2725,0.2925
P28222,5-hydroxytryptamine receptor 1B,HTR1B,GPCR,Depression migraine,6,https://alphafold.ebi.ac.uk/files/AF-P28222-F1-model_v6.pdb,390,79.19,0.195,0.077,0.228,0.5,0.48717948717948717,0.2230769230769231,0.10512820512820513,0.06923076923076923,0.1076923076923077,0.23846153846153847,0.05641025641025641,0.03076923076923077,0.028205128205128206,0.08974358974358974,0.028205128205128206,0.035897435897435895,0.03333333333333333,0.04358974358974359,0.03076923076923077,0.01282051282051282,0.07948717948717948,0.046153846153846156,0.1076923076923077,0.020512820512820513,0.028205128205128206,0.05641025641025641,0.02564102564102564,0.046153846153846156,0.08974358974358974,0.07948717948717948,0.08205128205128205,0.02564102564102564,0.038461538461538464,50519,0.3230769230769231,0.2717948717948718,0.24102564102564103,0.3282051282051282
P25021,Histamine H1 receptor,HRH1,GPCR,Allergy inflammation,6,https://alphafold.ebi.ac.uk/files/AF-P25021-F1-model_v6.pdb,359,82.94,0.136,0.084,0.128,0.652,0.49025069637883006,0.23119777158774374,0.11142061281337047,0.055710306406685235,0.09749303621169916,0.2395543175487465,0.03064066852367688,0.04456824512534819,0.036211699164345405,0.08356545961002786,0.036211699164345405,0.03064066852367688,0.025069637883008356,0.04178272980501393,0.04456824512534819,0.013927576601671309,0.07242339832869081,0.036211699164345405,0.1309192200557103,0.016713091922005572,0.052924791086350974,0.03064066852367688,0.03064066852367688,0.06128133704735376,0.07520891364902507,0.07242339832869081,0.08913649025069638,0.019498607242339833,0.036211699164345405,46495,0.3231197771587744,0.2757660167130919,0.233983286908078,0.30362116991643456
P08172,Muscarinic acetylcholine receptor M2,CHRM2,GPCR,Heart rate cognition,6,https://alphafold.ebi.ac.uk/files/AF-P08172-F1-model_v6.pdb,466,72.06,0.32,0.088,0.084,0.509,0.4356223175965665,0.26394849785407726,0.10944206008583691,0.06866952789699571,0.09227467811158799,0.22103004291845493,0.05150214592274678,0.04291845493562232,0.027896995708154508,0.06866952789699571,0.027896995708154508,0.03648068669527897,0.032188841201716736,0.03862660944206009,0.04291845493562232,0.012875536480686695,0.07939914163090128,0.06652360515021459,0.07510729613733906,0.027896995708154508,0.07510729613733906,0.05150214592274678,0.02575107296137339,0.030042918454935622,0.0815450643776824,0.0815450643776824,0.09227467811158799,0.019313304721030045,0.034334763948497854,60025,0.296137339055794,0.27253218884120173,0.2875536480686695,0.33047210300429186
P21917,D4 dopamine receptor,DRD4,GPCR,ADHD schizophrenia,6,https://alphafold.ebi.ac.uk/files/AF-P21917-F1-model_v6.pdb,419,77.12,0.227,0.117,0.189,0.468,0.45346062052505964,0.1431980906921241,0.09785202863961814,0.05489260143198091,0.06205250596658711,0.3317422434367542,0.11933174224343675,0.081145584725537,0.050119331742243436,0.14558472553699284,0.050119331742243436,0.0405727923627685,0.014319809069212411,0.031026252983293555,0.081145584725537,0.00477326968973747,0.01909307875894988,0.00954653937947494,0.12410501193317422,0.014319809069212411,0.026252983293556086,0.11933174224343675,0.026252983293556086,0.08353221957040573,0.05489260143198091,0.03579952267303103,0.0883054892601432,0.014319809069212411,0.016706443914081145,51374,0.3341288782816229,0.2052505966587112,0.3221957040572792,0.38902147971360385
P34969,5-hydroxytryptamine receptor 7,HTR7,GPCR,Depression sleep,6,https://alphafold.ebi.ac.uk/files/AF-P34969-F1-model_v6.pdb,479,73.31,0.251,0.102,0.251,0.397,0.4697286012526096,0.18162839248434237,0.12317327766179541,0.07515657620041753,0.10020876826722339,0.2359081419624217,0.06263048016701461,0.054279749478079335,0.033402922755741124,0.07724425887265135,0.033402922755741124,0.03966597077244259,0.03549060542797495,0.04801670146137787,0.054279749478079335,0.018789144050104383,0.06680584551148225,0.04801670146137787,0.1127348643006263,0.029227557411273485,0.037578288100208766,0.06263048016701461,0.022964509394572025,0.05636743215031315,0.0709812108559499,0.05010438413361169,0.08350730688935282,0.020876826722338204,0.031315240083507306,62096,0.325678496868476,0.2630480167014614,0.2651356993736952,0.35073068893528186
P30556,Type-1 angiotensin II receptor,AGTR1,GPCR,Hypertension heart failure,6,https://alphafold.ebi.ac.uk/files/AF-P30556-F1-model_v6.pdb,359,82.31,0.123,0.084,0.206,0.588,0.5292479108635098,0.19220055710306408,0.116991643454039,0.052924791086350974,0.1392757660167131,0.19498607242339833,0.04735376044568245,0.033426183844011144,0.027855153203342618,0.06406685236768803,0.027855153203342618,0.033426183844011144,0.019498607242339833,0.07799442896935933,0.033426183844011144,0.016713091922005572,0.11420612813370473,0.06406685236768803,0.12813370473537605,0.025069637883008356,0.05013927576601671,0.04735376044568245,0.016713091922005572,0.036211699164345405,0.06963788300835655,0.055710306406685235,0.0584958217270195,0.013927576601671309,0.04735376044568245,47456,0.31754874651810583,0.32590529247910865,0.233983286908078,0.28690807799442897
P28223,5-hydroxytryptamine receptor 2A,HTR2A,GPCR,Depression psychosis,6,https://alphafold.ebi.ac.uk/files/AF-P28223-F1-model_v6.pdb,471,73.75,0.274,0.113,0.106,0.507,0.4543524416135881,0.267515923566879,0.09766454352441614,0.08067940552016985,0.09766454352441614,0.24416135881104034,0.029723991507430998,0.03821656050955414,0.03184713375796178,0.06157112526539278,0.03184713375796178,0.04246284501061571,0.03821656050955414,0.05307855626326964,0.03821656050955414,0.012738853503184714,0.07218683651804671,0.05732484076433121,0.12101910828025478,0.03184713375796178,0.059447983014861996,0.029723991507430998,0.03821656050955414,0.027600849256900213,0.11252653927813164,0.05732484076433121,0.07006369426751592,0.014861995753715499,0.029723991507430998,61002,0.3481953290870488,0.25690021231422505,0.2823779193205945,0.34182590233545646
P30542,Adenosine receptor A1,ADORA1,GPCR,Cardiac arrhythmia pain,6,https://alphafold.ebi.ac.uk/files/AF-P30542-F1-model_v6.pdb,326,92.44,0.003,0.077,0.086,0.834,0.5613496932515337,0.147239263803681,0.09815950920245399,0.06134969325153374,0.1165644171779141,0.21779141104294478,0.06748466257668712,0.03680981595092025,0.027607361963190184,0.09815950920245399,0.027607361963190184,0.027607361963190184,0.03374233128834356,0.05828220858895705,0.03680981595092025,0.015337423312883436,0.0950920245398773,0.046012269938650305,0.12576687116564417,0.027607361963190184,0.03680981595092025,0.06748466257668712,0.024539877300613498,0.03680981595092025,0.05521472392638037,0.03067484662576687,0.09815950920245399,0.02147239263803681,0.03680981595092025,42318,0.3558282208588957,0.3159509202453988,0.22392638036809817,0.3006134969325153
P29274,Adenosine receptor A2a,ADORA2A,GPCR,Parkinson inflammation,6,https://alphafold.ebi.ac.uk/files/AF-P29274-F1-model_v6.pdb,412,80.38,0.235,0.032,0.097,0.636,0.49029126213592233,0.1796116504854369,0.09466019417475728,0.05825242718446602,0.09223300970873786,0.28398058252427183,0.05825242718446602,0.0825242718446602,0.03640776699029126,0.10194174757281553,0.03640776699029126,0.021844660194174758,0.03640776699029126,0.04854368932038835,0.0825242718446602,0.02669902912621359,0.0703883495145631,0.021844660194174758,0.12135922330097088,0.019417475728155338,0.043689320388349516,0.05825242718446602,0.038834951456310676,0.04611650485436893,0.06310679611650485,0.03398058252427184,0.08495145631067962,0.01699029126213592,0.02669902912621359,52053,0.33980582524271846,0.2669902912621359,0.26941747572815533,0.3470873786407767
P03372,Estrogen receptor alpha,ESR1,Nuclear_Receptor,Breast cancer,6,https://alphafold.ebi.ac.uk/files/AF-P03372-F1-model_v6.pdb,595,66.44,0.464,0.032,0.069,0.435,0.39327731092436974,0.20168067226890757,0.14453781512605043,0.10084033613445378,0.07226890756302522,0.25546218487394956,0.058823529411764705,0.07899159663865546,0.021848739495798318,0.07899159663865546,0.021848739495798318,0.040336134453781515,0.06050420168067227,0.025210084033613446,0.07899159663865546,0.03697478991596639,0.031932773109243695,0.04873949579831933,0.1226890756302521,0.0453781512605042,0.04201680672268908,0.058823529411764705,0.04201680672268908,0.058823529411764705,0.07563025210084033,0.04201680672268908,0.04201680672268908,0.008403361344537815,0.03865546218487395,76832,0.3983193277310924,0.15966386554621848,0.2957983193277311,0.4235294117647059
P10275,Androgen receptor,AR,Nuclear_Receptor,Prostate cancer,6,https://alphafold.ebi.ac.uk/files/AF-P10275-F1-model_v6.pdb,920,57.25,0.582,0.039,0.11,0.27,0.35,0.22717391304347825,0.10869565217391304,0.1,0.075,0.30978260869565216,0.08043478260869565,0.10434782608695652,0.029347826086956522,0.08804347826086957,0.029347826086956522,0.04021739130434782,0.059782608695652176,0.030434782608695653,0.10434782608695652,0.020652173913043477,0.025,0.043478260869565216,0.09456521739130434,0.02391304347826087,0.021739130434782608,0.08043478260869565,0.07717391304347826,0.04456521739130435,0.08804347826086957,0.04021739130434782,0.043478260869565216,0.008695652173913044,0.035869565217391305,115618,0.3869565217391304,0.1641304347826087,0.3347826086956522,0.49782608695652175
P37231,Peroxisome proliferator-activated receptor gamma,PPARG,Nuclear_Receptor,Diabetes obesity,6,https://alphafold.ebi.ac.uk/files/AF-P37231-F1-model_v6.pdb,505,76.12,0.275,0.038,0.137,0.55,0.39801980198019804,0.2079207920792079,0.14257425742574256,0.1405940594059406,0.09108910891089109,0.19207920792079208,0.04950495049504951,0.041584158415841586,0.019801980198019802,0.053465346534653464,0.019801980198019802,0.07128712871287128,0.06930693069306931,0.053465346534653464,0.041584158415841586,0.027722772277227723,0.06930693069306931,0.07722772277227723,0.10297029702970296,0.033663366336633666,0.031683168316831684,0.04950495049504951,0.047524752475247525,0.03762376237623762,0.07722772277227723,0.05148514851485148,0.047524752475247525,0.0019801980198019802,0.03564356435643564,66626,0.38415841584158417,0.22574257425742575,0.2712871287128713,0.4
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,Nuclear_Receptor,Dyslipidemia,6,https://alphafold.ebi.ac.uk/files/AF-Q07869-F1-model_v6.pdb,468,80.19,0.216,0.043,0.096,0.645,0.3952991452991453,0.19230769230769232,0.1388888888888889,0.13034188034188035,0.07692307692307693,0.24572649572649571,0.042735042735042736,0.05982905982905983,0.0405982905982906,0.06623931623931624,0.0405982905982906,0.057692307692307696,0.07264957264957266,0.04700854700854701,0.05982905982905983,0.027777777777777776,0.06196581196581197,0.07051282051282051,0.10042735042735043,0.03205128205128205,0.0405982905982906,0.042735042735042736,0.03418803418803419,0.0405982905982906,0.07905982905982906,0.038461538461538464,0.057692307692307696,0.0,0.029914529914529916,60571,0.37606837606837606,0.23717948717948717,0.2799145299145299,0.3995726495726496
P19793,Retinoic acid receptor RXR-alpha,RXRA,Nuclear_Receptor,Cancer differentiation,6,https://alphafold.ebi.ac.uk/files/AF-P19793-F1-model_v6.pdb,462,75.38,0.297,0.071,0.089,0.543,0.3593073593073593,0.21861471861471862,0.14285714285714285,0.10606060606060606,0.06060606060606061,0.25757575757575757,0.07575757575757576,0.06926406926406926,0.02813852813852814,0.06277056277056277,0.02813852813852814,0.045454545454545456,0.06060606060606061,0.0367965367965368,0.06926406926406926,0.032467532467532464,0.04329004329004329,0.05627705627705628,0.1038961038961039,0.0367965367965368,0.03896103896103896,0.07575757575757576,0.030303030303030304,0.05411255411255411,0.09740259740259741,0.05194805194805195,0.05194805194805195,0.004329004329004329,0.01948051948051948,59051,0.35064935064935066,0.17965367965367965,0.3268398268398268,0.44372294372294374
P04150,Glucocorticoid receptor,NR3C1,Nuclear_Receptor,Inflammation autoimmune,6,https://alphafold.ebi.ac.uk/files/AF-P04150-F1-model_v6.pdb,777,59.59,0.557,0.036,0.057,0.35,0.3474903474903475,0.277992277992278,0.11454311454311454,0.1093951093951094,0.0682110682110682,0.24967824967824967,0.05791505791505792,0.06692406692406692,0.02574002574002574,0.047619047619047616,0.02574002574002574,0.05019305019305019,0.059202059202059204,0.03088803088803089,0.06692406692406692,0.014157014157014158,0.043758043758043756,0.06563706563706563,0.10424710424710425,0.029601029601029602,0.05148005148005148,0.05791505791505792,0.05405405405405406,0.03474903474903475,0.1093951093951094,0.06306306306306306,0.05405405405405406,0.009009009009009009,0.028314028314028315,99530,0.36036036036036034,0.18275418275418276,0.3359073359073359,0.44787644787644787
